Customer|Customer Name|Customer Currency Code|Currency|Transaction Type|Apply to Invoice|Invoice|Amount|Original Amount|Due/Payment Date|Exchange Rate|Invoice Date|Credit Hold|City|Contact|Credit Limit|Terms|Terms Code Description|Prov/State|Phone|Type|Salesperson|Name|Phone[1]
AR-Z012|ZHEN CONG CONSTRUCTION SDN BHD|MYR|MYR|I|  83689|  83689|10000.00000000|10000.00000000|30-03-18|1|17-01-18||||0.00000000|60|60 Days||||||03-4217 1162
AR-G003|GEOHAN S/B|MYR|MYR|I|1003403|1003403|100136.96000000|100136.96000000|30-11-20|1|18-09-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-C105|CHINA CONSTRUCTION YANGTZE RIVER (M) SDN BHD|MYR|MYR|I|  96666|  96666|100215.00000000|100215.00000000|30-12-19|1|17-10-19|*CREDIT HOLD*|||0.00000000|60|60 Days||||||03-2242 1989
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1004236|1004236|1005.00000000|1005.00000000|30-12-20|1|29-10-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-G003|GEOHAN S/B|MYR|MYR|I|1005280|1005280|100500.00000000|100500.00000000|28-02-21|1|28-12-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-K073|KMC CONSTRUCTION AND MACHINERY SDN BHD|MYR|MYR|I|  96923|  96923|32606.00000000|100548.00000000|29-02-20|1|08-11-19||||800000.00000000|90|90 Days||||||03-9105 3633
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1003193|1003193|100682.26000000|100682.26000000|30-11-20|1|08-09-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-C105|CHINA CONSTRUCTION YANGTZE RIVER (M) SDN BHD|MYR|MYR|I|  96642|  96642|100710.00000000|100710.00000000|30-12-19|1|15-10-19|*CREDIT HOLD*|||0.00000000|60|60 Days||||||03-2242 1989
AR-L018|LEBROTHERS CONSTRUCTION S/B|MYR|MYR|I|1004608|1004608|100711.36000000|100711.36000000|31-01-21|1|18-11-20||||8000000.00000000|60|60 Days||||Eeyan||03-8926 6098
AR-A115|AIMA CONSTRUCTION SDN BHD|MYR|MYR|I|1005213|1005213|10076.97000000|10076.97000000|31-03-21|1|11-12-20||||1000000.00000000|30|30 Days||||Kok Wai||03-8068 4331
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|I|1000961|1000961|100765.35000000|100765.35000000|29-06-20|1|05-03-20|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-A073|AHMAD ZAKI SDN BHD|MYR|MYR|I|1005542|1005542|100863.00000000|100863.00000000|28-02-21|1|15-01-21||||500000.00000000|30|30 Days||||Ken||03-2698 7171
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004902|1004902|10088.16000000|10088.16000000|30-04-21|1|02-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-M114|MGB CONSTRUCTION & ENGINEERING SDN BHD|MYR|MYR|I|1005335|1005335|100897.03000000|100897.03000000|30-04-21|1|02-01-21||||2000000.00000000|60|60 Days||||BILL||03-7874 5888
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1003398|1003398|100938.40000000|100938.40000000|30-11-20|1|18-09-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-G063|G N P CONSTRUCTION SDN BHD|MYR|MYR|I|  91759|  91759|100998.80000000|100998.80000000|02-03-19|1|26-12-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||||09-748 7810
AR-G040|GAGASAN RHEMA ENGINEERING SDN BHD|MYR|MYR|I|1005130|1005130|10100.00000000|10100.00000000|28-02-21|1|16-12-20||||600000.00000000|60|60 Days||||Eeyan||03-8944 0882
AR-A064|AWANGSA BINA SDN BHD|MYR|MYR|I|1005428|1005428|101001.60000000|101001.60000000|31-03-21|1|08-01-21||||1800000.00000000|60|60 Days||||Kok Wai||03-8023 3703
AR-M127|MERCU MAJUNIAGA SDN BHD|MYR|MYR|I|1004448|1004448|10114.70000000|10114.70000000|28-02-21|1|09-11-20||||2000000.00000000|90|90 Days||||Eeyan||05-241 1373
AR-A103|ALPHAZEN CONTRACT SDN BHD|MYR|MYR|I|1004235|1004235|10126.50000000|10126.50000000|29-01-21|1|29-10-20||||1500000.00000000|90|90 Days||||Kok Wai||03-8993 9988
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|I|1000996|1000996|101283.75000000|101283.75000000|29-06-20|1|06-03-20|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1002813|1002813|101352.40000000|101352.40000000|30-10-20|1|21-08-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004898|1004898|101398.80000000|101398.80000000|28-02-21|1|02-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-S063|S.P. MEGA SDN BHD|MYR|MYR|I|1004800|1004800|10143.00000000|10143.00000000|28-02-21|1|27-11-20||||1500000.00000000|90|90 Days||||Kok Wai||04-356 2336
AR-C125|CLANICON BUILDERS SDN BHD|MYR|MYR|I|  97087|  97087|10150.40000000|10150.40000000|31-12-19|1|12-11-19||||0.00000000|30|30 Days||||Kok Wai||03-6242 5131
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005178|1005178|101504.90000000|101504.90000000|28-02-21|1|19-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-G063|G N P CONSTRUCTION SDN BHD|MYR|MYR|P|DN19046|DN19046|0.00000000|-10198.58000000|30-11-20|1|30-11-20|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||||09-748 7810
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004604|1004604|102064.14000000|102064.14000000|18-11-20|1|18-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B009|BSG CONSTRUCTION (MALAYSIA) S/B|MYR|MYR|I|1005448|1005448|102130.96000000|102130.96000000|31-03-21|1|09-01-21||||2000000.00000000|60|60 Days||||Mei||03-6205 3693
AR-N033|NESTCON BUILDERS SDN BHD|MYR|MYR|I|1004605|1004605|102142.20000000|102142.20000000|31-01-21|1|18-11-20||||3000000.00000000|60|60 Days||||Kok Wai||03-8080 7792
AR-F001|FNA BUILDERS & SERVICES S/B|MYR|MYR|I|  92612|  92612|102184.50000000|102184.50000000|30-04-19|1|12-02-19|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||||03-4142 4243
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004297|1004297|102216.00000000|102216.00000000|02-11-20|1|02-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003100|1003100|10223.08000000|10223.08000000|30-11-20|1|03-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003241|1003241|10223.08000000|10223.08000000|30-11-20|1|09-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003428|1003428|10223.08000000|10223.08000000|30-11-20|1|18-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-A103|ALPHAZEN CONTRACT SDN BHD|MYR|MYR|I|1003979|1003979|102279.30000000|102279.30000000|29-01-21|1|16-10-20||||1500000.00000000|90|90 Days||||Kok Wai||03-8993 9988
AR-L040|LCL DRILLING|MYR|MYR|I|  51188|  51188|10232.40000000|10232.40000000|03-04-14|1|03-04-14|*CREDIT HOLD*|||100000.00000000|0|CASH||||||03-8925 2811
AR-C105|CHINA CONSTRUCTION YANGTZE RIVER (M) SDN BHD|MYR|MYR|I|  96640|  96640|102360.00000000|102360.00000000|30-12-19|1|15-10-19|*CREDIT HOLD*|||0.00000000|60|60 Days||||||03-2242 1989
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005472|1005472|102364.15000000|102364.15000000|31-03-21|1|11-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B036|BRUNSFIELD TRADING SDN BERHAD|MYR|MYR|I|1004909|1004909|1025.00000000|1025.00000000|31-03-21|1|03-12-20||||5000000.00000000|90|90 Days||||Mei||03-7726 9898
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005357|1005357|102523.58000000|102523.58000000|31-03-21|1|04-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005380|1005380|102597.88000000|102597.88000000|31-03-21|1|05-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-N033|NESTCON BUILDERS SDN BHD|MYR|MYR|I|1003618|1003618|102617.19000000|102617.19000000|30-11-20|1|29-09-20||||3000000.00000000|60|60 Days||||Kok Wai||03-8080 7792
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005282|1005282|102619.72000000|102619.72000000|28-02-21|1|28-12-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1003911|1003911|102627.36000000|102627.36000000|30-12-20|1|13-10-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-P051|PECK CHEW PILING (M) SDN BHD|MYR|MYR|I|1003077|1003077|102715.60000000|102715.60000000|30-11-20|1|02-09-20||||1000000.00000000|60|60 Days||||Mei||03-3323 7333*
AR-P051|PECK CHEW PILING (M) SDN BHD|MYR|MYR|I|1003079|1003079|102715.60000000|102715.60000000|30-11-20|1|02-09-20||||1000000.00000000|60|60 Days||||Mei||03-3323 7333*
AR-C018|CASTMET SDN BHD|MYR|MYR|I|  69953|  69953|102757.25000000|102757.25000000|30-07-16|1|14-05-16|*CREDIT HOLD*|||5000000.00000000|30|30 Days||||||03-7733 3163
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005572|1005572|102809.30000000|102809.30000000|31-03-21|1|18-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005560|1005560|102881.24000000|102881.24000000|31-03-21|1|16-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-L083|LB BROTHERS CONSTRUCTION SDN BHD|MYR|MYR|I|1005313|1005313|102884.88000000|102884.88000000|28-02-21|1|30-12-20||||600000.00000000|60|60 Days||||Mr Chen||04-397 5293
AR-G040|GAGASAN RHEMA ENGINEERING SDN BHD|MYR|MYR|I|1005439|1005439|10290.00000000|10290.00000000|31-03-21|1|09-01-21||||600000.00000000|60|60 Days||||Eeyan||03-8944 0882
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005544|1005544|102902.36000000|102902.36000000|31-03-21|1|15-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B009|BSG CONSTRUCTION (MALAYSIA) S/B|MYR|MYR|I|1004559|1004559|102913.95000000|102913.95000000|31-01-21|1|16-11-20||||2000000.00000000|60|60 Days||||Mei||03-6205 3693
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  87567|  87567|102969.60000000|102969.60000000|30-08-18|1|27-06-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1004836|1004836|10312.50000000|10312.50000000|31-01-21|1|30-11-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
AR-A115|AIMA CONSTRUCTION SDN BHD|MYR|MYR|I|1004508|1004508|10315.55000000|10315.55000000|28-02-21|1|10-11-20||||1000000.00000000|30|30 Days||||Kok Wai||03-8068 4331
AR-A115|AIMA CONSTRUCTION SDN BHD|MYR|MYR|I|1005212|1005212|10315.55000000|10315.55000000|31-03-21|1|11-12-20||||1000000.00000000|30|30 Days||||Kok Wai||03-8068 4331
AR-G003|GEOHAN S/B|MYR|MYR|I|1003299|1003299|103190.92000000|103190.92000000|30-11-20|1|11-09-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1004581|1004581|103211.15000000|103211.15000000|28-02-21|1|17-11-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1003261|1003261|103237.78000000|103237.78000000|30-11-20|1|10-09-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-C128|CONSTRUCTION & CONCRETE MATERIALS (M) SDN BHD|MYR|MYR|I|1005297|1005297|10328.00000000|10328.00000000|31-01-21|1|29-12-20||||500000.00000000|30|30 Days||||Eeyan||03-8024 8934
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004154|1004154|10346.27000000|10346.27000000|30-12-20|1|26-10-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004257|1004257|10346.27000000|10346.27000000|30-12-20|1|30-10-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004397|1004397|10346.27000000|10346.27000000|31-01-21|1|06-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004537|1004537|10346.27000000|10346.27000000|31-01-21|1|12-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004701|1004701|10346.27000000|10346.27000000|31-01-21|1|23-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004787|1004787|10346.27000000|10346.27000000|31-01-21|1|26-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-Z016|ZIBINA JAYA SDN BHD|MYR|MYR|I|1005532|1005532|103464.40000000|103464.40000000|31-03-21|1|14-01-21||||1500000.00000000|60|60 Days||||Mr Chen||
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005508|1005508|103477.80000000|103477.80000000|31-03-21|1|13-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|I|  50281|  50281|103509.20000000|103509.20000000|30-04-14|1|05-02-14|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  89401|  89401|10352.50000000|10352.50000000|30-11-18|1|14-09-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004755|1004755|103557.72000000|103557.72000000|25-11-20|1|25-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-M132|MGB SANY (M) IBS SDN BHD|MYR|MYR|I|1002812|1002812|103580.36000000|103580.36000000|30-10-20|1|21-08-20||||2000000.00000000|60|60 Days||||BILL||06-797 1855
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|I|  50405|  50405|103607.85000000|103607.85000000|30-04-14|1|17-02-14|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-V013|VESTLAND RESOURCES SDN BHD|MYR|MYR|I|1003936|1003936|103665.16000000|103665.16000000|29-01-21|1|14-10-20||||4000000.00000000|90|90 Days||||Mei||03-7662 1288
AR-A064|AWANGSA BINA SDN BHD|MYR|MYR|I|1005409|1005409|103766.40000000|103766.40000000|31-03-21|1|07-01-21||||1800000.00000000|60|60 Days||||Kok Wai||03-8023 3703
AR-D011|DYNABRIDGE S/B|MYR|MYR|I|1005421|1005421|10400.00000000|10400.00000000|31-03-21|1|07-01-21||||3000000.00000000|60|60 Days||||Ken||03-9130 9886
AR-D011|DYNABRIDGE S/B|MYR|MYR|I|1005543|1005543|10400.00000000|10400.00000000|31-03-21|1|15-01-21||||3000000.00000000|60|60 Days||||Ken||03-9130 9886
AR-D011|DYNABRIDGE S/B|MYR|MYR|I|1005628|1005628|10400.00000000|10400.00000000|31-03-21|1|19-01-21||||3000000.00000000|60|60 Days||||Ken||03-9130 9886
AR-F001|FNA BUILDERS & SERVICES S/B|MYR|MYR|I|  92611|  92611|104038.60000000|104038.60000000|30-04-19|1|12-02-19|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||||03-4142 4243
AR-V021|VIP FRONTIER SDN BHD|MYR|MYR|I|1004867|1004867|104039.10000000|104039.10000000|31-03-21|1|01-12-20||||1000000.00000000|90|90 Days||||Kok Wai||
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|I|1002575|1002575|104181.00000000|104181.00000000|30-10-20|1|06-08-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-P051|PECK CHEW PILING (M) SDN BHD|MYR|MYR|I|1003960|1003960|104269.40000000|104269.40000000|30-12-20|1|15-10-20||||1000000.00000000|60|60 Days||||Mei||03-3323 7333*
AR-B004|BIAXIS (M) SDN BHD|MYR|MYR|I|  88576|  88576|104304.00000000|104304.00000000|30-10-18|1|06-08-18|*CREDIT HOLD*|||1000000.00000000|60|60 Days||||Mei||03-8024 0405
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|I|  96814|  96814|10436.94000000|10436.94000000|30-12-19|1|21-10-19|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|I|  50127|  50127|104429.84000000|104429.84000000|30-03-14|1|25-01-14|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1004576|1004576|104540.80000000|104540.80000000|31-01-21|1|17-11-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-E009|ECONPILE (M) S/B|MYR|MYR|I|1004600|1004600|104540.80000000|104540.80000000|31-01-21|1|18-11-20||||8000000.00000000|60|60 Days||||Mei||03-9171 9999
AR-L059|LAYUN ENTERPRISE|MYR|MYR|I|DN17030|DN17030|10455.56000000|10455.56000000|31-08-17|1|31-08-17||||200000.00000000|0|CASH||||||085-411 519
AR-L059|LAYUN ENTERPRISE|MYR|MYR|I|DN17037|DN17037|10455.56000000|10455.56000000|30-09-17|1|30-09-17||||200000.00000000|0|CASH||||||085-411 519
AR-L059|LAYUN ENTERPRISE|MYR|MYR|I|DN17046|DN17046|10455.56000000|10455.56000000|31-10-17|1|31-10-17||||200000.00000000|0|CASH||||||085-411 519
AR-S172|SBJ BINAJAYA DEVELOPMENT SDN BHD|MYR|MYR|I|1005091|1005091|104578.40000000|104578.40000000|28-02-21|1|16-12-20||||600000.00000000|60|60 Days||||Mei||09-748 1500
AR-K061|KASMUDA SDN BHD|MYR|MYR|I|1005577|1005577|10480.00000000|10480.00000000|31-03-21|1|15-01-21||||200000.00000000|45|45 Days||||||03-6280 3632
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1004052|1004052|104849.92000000|104849.92000000|30-12-20|1|20-10-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20095|10487.23000000|10487.23000000|31-08-20|1|31-08-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20123|10487.23000000|10487.23000000|30-09-20|1|30-09-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20145|10487.23000000|10487.23000000|31-10-20|1|31-10-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20159|10487.23000000|10487.23000000|30-11-20|1|30-11-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|D|0|DN20164|10487.23000000|10487.23000000|31-12-20|1|31-12-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-A064|AWANGSA BINA SDN BHD|MYR|MYR|I|1003810|1003810|104923.20000000|104923.20000000|30-12-20|1|08-10-20||||1800000.00000000|60|60 Days||||Kok Wai||03-8023 3703
AR-C114|CHINA 1ST METALLURGICAL CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1000017|1000017|10494.00000000|10494.00000000|30-03-20|1|02-01-20|*CREDIT HOLD*|||0.00000000|30|30 Days||||Mei||03-80113148
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1005289|1005289|105.00000000|105.00000000|28-02-21|1|23-12-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-U023|UNITIN ENGINEERING & CONSTRUCTION SDN BHD|MYR|MYR|I|1005294|1005294|10500.00000000|10500.00000000|02-03-21|1|30-12-20||||1500000.00000000|60|60 Days||||||03-7981 7470
AR-G003|GEOHAN S/B|MYR|MYR|I|1003672|1003672|10510.00000000|10510.00000000|30-12-20|1|02-10-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1003415|1003415|105162.60000000|105162.60000000|30-11-20|1|19-09-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-C131|CRSM CONSTRUCTION (M) SDN BHD|MYR|MYR|I|1003599|1003599|10526.94000000|10526.94000000|31-10-20|1|28-09-20||||1000000.00000000|30|30 Days||||Kok Wai||03-4266 0761
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|I|  49840|  49840|105267.75000000|105267.75000000|30-03-14|1|08-01-14|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-B082|BIAXIS GEOTECHNIQUE SDN BHD|MYR|MYR|I|  87130|  87130|105317.00000000|105317.00000000|30-08-18|1|11-06-18|*CREDIT HOLD*|||0.00000000|60|60 Days||||||03-8024 0405
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|I|1000868|1000868|105406.40000000|105406.40000000|30-05-20|1|29-02-20|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-G004|GEOPANCAR S/B|MYR|MYR|I|1004742|1004742|10550.00000000|10550.00000000|31-01-21|1|25-11-20||||10000000.00000000|60|60 Days||||Mei||03-2287 3393
AR-A023|ANEKA JARINGAN SDN BHD|MYR|MYR|I|1004205|1004205|105512.62000000|105512.62000000|30-11-20|1|28-10-20||||3000000.00000000|30|30 Days||||Mei||03-8657 5150
AR-G003|GEOHAN S/B|MYR|MYR|I|1002653|1002653|105525.10000000|105525.10000000|30-10-20|1|11-08-20||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-G003|GEOHAN S/B|MYR|MYR|I|1005633|1005633|10570.00000000|10570.00000000|31-03-21|1|21-01-21||||5000000.00000000|60|60 Days||||Kok Wai||03-7727 3608
AR-C018|CASTMET SDN BHD|MYR|MYR|I|  76857|  76857|10579.77000000|10579.77000000|17-03-17|1|17-03-17|*CREDIT HOLD*|||5000000.00000000|30|30 Days||||||03-7733 3163
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1005484|1005484|10581.21000000|10581.21000000|31-05-21|1|11-01-21||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B036|BRUNSFIELD TRADING SDN BERHAD|MYR|MYR|I|1003540|1003540|1060.00000000|1060.00000000|30-12-20|1|26-09-20||||5000000.00000000|90|90 Days||||Mei||03-7726 9898
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1002307|1002307|1060.00000000|1060.00000000|30-09-20|1|17-07-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-C002|CONSEAL S/B|MYR|MYR|I|1005109|1005109|10600.00000000|10600.00000000|31-01-21|1|17-12-20||||300000.00000000|30|30 Days||||Ken||03-7880 6028
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003096|1003096|10601.21000000|10601.21000000|30-11-20|1|03-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003240|1003240|10601.21000000|10601.21000000|30-11-20|1|09-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1003432|1003432|10601.21000000|10601.21000000|30-11-20|1|18-09-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|I|1004501|1004501|10607.38000000|10607.38000000|31-01-21|1|11-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
